Layer,Domain Entity,File Path,File Purpose,Key Pattern,Dependencies,Extends/Conforms,Concurrency,Complexity,Notes
View-Form,PersonalValue,swift/Sources/App/Views/FormViews/PersonalValuesFormView.swift,"Form view for value creation/editing","SwiftUI form","SwiftUI, PersonalValuesFormViewModel","View",@MainActor,Simple,"Simple form: title, priority, valueLevel, lifeDomain"
View-Form,TimePeriod,swift/Sources/App/Views/FormViews/TermFormView.swift,"Form view for term creation/editing","SwiftUI form with specialization","SwiftUI, TimePeriodFormViewModel","View",@MainActor,Simple,"Date range + optional GoalTerm toggle"
View-Form,Milestone,swift/Sources/App/Views/FormViews/MilestoneFormView.swift,"Form view for milestone creation/editing","SwiftUI form","SwiftUI, MilestoneFormViewModel","View",@MainActor,Simple,"Title, description, targetDate"
View-Form,Obligation,swift/Sources/App/Views/FormViews/ObligationFormView.swift,"Form view for obligation creation/editing","SwiftUI form","SwiftUI, ObligationFormViewModel","View",@MainActor,Simple,"Title, description, deadline, requestedBy"
View-List,Goal,swift/Sources/App/Views/ListViews/GoalsListView.swift,"List view for goals","SwiftUI List","SwiftUI, GoalsListViewModel","View",@MainActor,Medium,"List with row navigation, delete, refresh"
View-List,Action,swift/Sources/App/Views/ListViews/ActionsListView.swift,"List view for actions","SwiftUI List","SwiftUI, ActionsListViewModel","View",@MainActor,Medium,"List with row navigation, delete, refresh"
View-List,PersonalValue,swift/Sources/App/Views/ListViews/PersonalValuesListView.swift,"List view for personal values","SwiftUI List","SwiftUI, PersonalValuesListViewModel","View",@MainActor,Simple,"List with row navigation, delete, refresh"
View-List,TimePeriod,swift/Sources/App/Views/ListViews/TermsListView.swift,"List view for terms","SwiftUI List","SwiftUI, TermsListViewModel","View",@MainActor,Simple,"List with row navigation"
View-List,Milestone,swift/Sources/App/Views/ListViews/MilestonesListView.swift,"List view for milestones","SwiftUI List","SwiftUI, MilestonesListViewModel","View",@MainActor,Simple,"List with row navigation, delete, refresh"
View-List,Obligation,swift/Sources/App/Views/ListViews/ObligationsListView.swift,"List view for obligations","SwiftUI List","SwiftUI, ObligationsListViewModel","View",@MainActor,Simple,"List with row navigation, delete, refresh"
View-Row,Goal,swift/Sources/App/Views/RowViews/GoalRowView.swift,"Row view for goal in list","SwiftUI row component","SwiftUI, GoalData","View",@MainActor,Simple,"Displays title, dates, measure targets, value badges"
View-Row,Action,swift/Sources/App/Views/RowViews/ActionRowView.swift,"Row view for action in list","SwiftUI row component","SwiftUI, ActionData","View",@MainActor,Simple,"Displays title, measurements, goal badges"
View-Row,PersonalValue,swift/Sources/App/Views/RowViews/PersonalValuesRowView.swift,"Row view for value in list","SwiftUI row component","SwiftUI, PersonalValueData","View",@MainActor,Simple,"Displays title, priority, valueLevel badge"
View-Row,TimePeriod,swift/Sources/App/Views/RowViews/TermRowView.swift,"Row view for term in list","SwiftUI row component","SwiftUI, TimePeriodData","View",@MainActor,Simple,"Displays term number, date range, status badge"
View-Row,Milestone,swift/Sources/App/Views/RowViews/MilestoneRowView.swift,"Row view for milestone in list","SwiftUI row component","SwiftUI","View",@MainActor,Simple,"Displays title, targetDate"
View-Row,Obligation,swift/Sources/App/Views/RowViews/ObligationRowView.swift,"Row view for obligation in list","SwiftUI row component","SwiftUI","View",@MainActor,Simple,"Displays title, deadline, requestedBy"
View-Component,Measure,swift/Sources/App/Views/Components/FormComponents/MeasurementInputRow.swift,"Reusable measurement input row","SwiftUI form component","SwiftUI, MeasureRepository","View",@MainActor,Medium,"Measure picker + value TextField with validation"
View-Component,Measure,swift/Sources/App/Views/Components/FormComponents/MetricTargetRow.swift,"Reusable metric target input row","SwiftUI form component with get-or-create","SwiftUI, MeasureCoordinator","View",@MainActor,Complex,"Measure picker + targetValue + inline measure creation"
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/MultiSelectSection.swift,"Reusable multi-select section","SwiftUI form component","SwiftUI","View",@MainActor,Simple,"Checkbox list for selecting multiple items"
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/RepeatingSection.swift,"Reusable repeating field section","SwiftUI form component","SwiftUI","View",@MainActor,Medium,"Add/remove dynamic list of inputs"
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/TimingSection.swift,"Reusable date/time input section","SwiftUI form component","SwiftUI","View",@MainActor,Simple,"DatePicker + duration input"
View-Component,Progress,swift/Sources/App/Views/Components/GoalComponents/ProgressIndicator.swift,"Progress bar component","SwiftUI progress view","SwiftUI, ProgressData","View",@MainActor,Simple,"Visual progress bar with percentage"
View-Component,Cross-cutting,swift/Sources/App/Views/Components/QuickAddSection.swift,"Quick-add shortcuts section","SwiftUI shortcuts","SwiftUI, Coordinators","View",@MainActor,Medium,"Fast entry for common actions/goals"
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/BadgeView.swift,"Reusable badge display","SwiftUI component","SwiftUI","View",@MainActor,Simple,"Colored badge for tags/categories"
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/DateGrouping.swift,"Date grouping helpers for lists","SwiftUI grouping utilities","SwiftUI","None",None,Simple,"Group by day/week/month"
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/DocumentableFields.swift,"Reusable Documentable fields","SwiftUI form section","SwiftUI","View",@MainActor,Simple,"Title + description + notes TextField group"
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/EntityRowView.swift,"Generic entity row template","SwiftUI row base","SwiftUI","View",@MainActor,Simple,"Base row with title + metadata"
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/FormHelpers.swift,"Form validation and utilities","SwiftUI form helpers","SwiftUI","None",None,Simple,"TextField validation, error display"
View-Template,Measure,swift/Sources/App/Views/Templates/MeasurementDisplay.swift,"Display measurement with unit","SwiftUI display component","SwiftUI, MeasureData","View",@MainActor,Simple,"Formatted value + unit (e.g., '5.2 km')"
View-Template,Validation,swift/Sources/App/Views/Templates/ValidationFeedback.swift,"Validation error display","SwiftUI error component","SwiftUI, ValidationError","View",@MainActor,Simple,"User-friendly error messages"
View-CSV,Export,swift/Sources/App/Views/CSV/CSVExportImportView.swift,"CSV export/import main view","SwiftUI container","SwiftUI, ExportViewModel","View",@MainActor,Medium,"Export + import tabs with file pickers"
View-CSV,Import,swift/Sources/App/Views/CSV/ImportPreviewView.swift,"CSV import preview view","SwiftUI preview","SwiftUI, ImportTypes","View",@MainActor,Medium,"Show parsed data before import"
View-CSV,Import,swift/Sources/App/Views/CSV/ImportResultView.swift,"CSV import result view","SwiftUI result display","SwiftUI, ImportTypes","View",@MainActor,Simple,"Success/failure summary"
View-Health,HealthKit,swift/Sources/App/Views/Health/HealthDashboardTestView.swift,"HealthKit dashboard test view","SwiftUI test harness","SwiftUI, HealthDashboardViewModel","View",@MainActor,Medium,"Development view for HealthKit testing"
View-Health,HealthKit,swift/Sources/App/Views/Health/WorkoutsTestView.swift,"Workouts list test view","SwiftUI test harness","SwiftUI, HealthKitManager","View",@MainActor,Simple,"Development view for workout display"
View-Health,HealthKit,swift/Sources/App/Views/Health/WorkoutDetailView.swift,"Workout detail view","SwiftUI detail view","SwiftUI, HealthWorkout","View",@MainActor,Simple,"Show workout type, duration, metrics"
View,LLM,swift/Sources/App/Views/LLM/GoalCoachView.swift,"Conversational goal-setting view","SwiftUI chat interface","SwiftUI, GoalCoachViewModel","View",@MainActor,Complex,"LLM conversation UI with tool display"
View-Debug,Measure,swift/Sources/App/Views/Debug/MeasureDeduplicationView.swift,"Measure deduplication debug view","SwiftUI debug tool","SwiftUI, MeasureDeduplicationCoordinator","View",@MainActor,Medium,"Manual trigger for measure merging"
View-Debug,Cross-cutting,swift/Sources/App/Views/Debug/SyncDebugView.swift,"CloudKit sync debug view","SwiftUI debug tool","SwiftUI, CloudKitManualSync","View",@MainActor,Simple,"Manual sync trigger and status display"
Database,Cross-cutting,swift/Sources/Database/DatabaseBootstrap.swift,"Database initialization and migration","Bootstrap pattern with schema execution","SQLiteData, Foundation","None",None,Medium,"Creates database, runs migrations, seeds data"
Database,Cross-cutting,swift/Sources/Database/SyncConfiguration.swift,"CloudKit sync configuration","Sync setup with conflict resolution","CloudKit, SQLiteData","None",None,Simple,"Configures CloudKit container and sync options"
Database,Cross-cutting,swift/Sources/Database/CloudKitManualSync.swift,"Manual CloudKit synchronization","Sync trigger with progress tracking","CloudKit, Database","None",@MainActor,Medium,"Manual sync operations for testing and debugging"
