Layer,Domain Entity,File Path,File Purpose,Key Pattern,Dependencies,Extends/Conforms,Concurrency,Complexity,Notes
View-Row,PersonalValue,swift/Sources/App/Views/RowViews/PersonalValuesRowView.swift,,SwiftUI View,Models,View,None,Simple,
View-Row,TimePeriod,swift/Sources/App/Views/RowViews/TermRowView.swift,Row display for Term with TimePeriod details,SwiftUI View,Models,View,None,Simple,
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/BadgeView.swift,"// Provides compact, colored badges for displaying entity metadata",SwiftUI View,,"Identifiable, View",None,Simple,
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/DateGrouping.swift,"// Provides date-based grouping for entity lists (Today, Yesterday, This Week, etc.)",,,Identifiable,None,Medium,
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/DocumentableFields.swift,"// Shared form section for DomainAbstraction entities (Actions, Values, TimePeriods, etc.)",SwiftUI View,,View,None,Simple,
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/EntityRowView.swift,"// Provides consistent layout for entity rows across Actions, Goals, Terms, and Values.",SwiftUI View,,,None,Medium,
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/FormHelpers.swift,"// Common validation utilities, date helpers, and formatters",,,,None,Simple,
View-Template,Cross-cutting,swift/Sources/App/Views/Templates/ValidationFeedback.swift,// Displays validation status (valid/invalid) and lists any validation errors.,SwiftUI View,,View,None,Simple,
View-Template,Measure,swift/Sources/App/Views/Templates/MeasurementDisplay.swift,// Provides pre-formatted measurement data to row views across all entities.,,,Identifiable,None,Medium,
ViewModel-Form,Action,swift/Sources/App/ViewModels/FormViewModels/ActionFormViewModel.swift,ViewModel for Action forms (create + edit),@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Medium,
ViewModel-Form,Goal,swift/Sources/App/ViewModels/FormViewModels/GoalFormViewModel.swift,@Observable ViewModel for Goal forms,@Observable @MainActor,"Dependencies, Models, SQLiteData, Services",,@MainActor,Medium,
ViewModel-Form,Milestone,swift/Sources/App/ViewModels/FormViewModels/MilestoneFormViewModel.swift,ViewModel for Milestone forms (create + edit),@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Simple,
ViewModel-Form,Obligation,swift/Sources/App/ViewModels/FormViewModels/ObligationFormViewModel.swift,ViewModel for Obligation forms (create + edit),@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Simple,
ViewModel-Form,PersonalValue,swift/Sources/App/ViewModels/FormViewModels/PersonalValuesFormViewModel.swift,Creates new PersonalValue from form data.,@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Simple,
ViewModel-Form,TimePeriod,swift/Sources/App/ViewModels/FormViewModels/TimePeriodFormViewModel.swift,Generic ViewModel for TimePeriod creation (works with all specializations),@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Medium,
ViewModel-LLM,Goal,swift/Sources/App/ViewModels/LLMViewModels/GoalCoachViewModel.swift,Message in the conversation,@Observable @MainActor,"Dependencies, FoundationModels, Models, SQLiteData, Services","Identifiable, Sendable, Sendable",Sendable + @MainActor,Medium,
ViewModel-List,Action,swift/Sources/App/ViewModels/ListViewModels/ActionsListViewModel.swift,// ViewModel for ActionsListView - manages actions list state and repository access.,@Observable @MainActor,"Dependencies, Models, Observation, Services",,@MainActor,Medium,
ViewModel-List,Goal,swift/Sources/App/ViewModels/ListViewModels/GoalsListViewModel.swift,// ViewModel for GoalsListView - manages goals list state and repository access.,@Observable @MainActor,"Dependencies, Models, Observation, Services",,@MainActor,Simple,
ViewModel-List,Milestone,swift/Sources/App/ViewModels/ListViewModels/MilestonesListViewModel.swift,ViewModel for Milestones list view,@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Simple,
ViewModel-List,Obligation,swift/Sources/App/ViewModels/ListViewModels/ObligationsListViewModel.swift,ViewModel for Obligations list view,@Observable @MainActor,"Dependencies, Models, Observation, SQLiteData, Services",,@MainActor,Simple,
ViewModel-List,PersonalValue,swift/Sources/App/ViewModels/ListViewModels/PersonalValuesListViewModel.swift,// ViewModel for PersonalValuesListView - manages values list state and repository access.,@Observable @MainActor,"Dependencies, Models, Observation, Services",,@MainActor,Simple,
ViewModel-List,TimePeriod,swift/Sources/App/ViewModels/ListViewModels/TermsListViewModel.swift,// ViewModel for TermsListView - manages terms list state and repository access.,@Observable @MainActor,"Dependencies, Models, Observation, Services",,@MainActor,Simple,
ViewModel-Utility,Cross-cutting,swift/Sources/App/ViewModels/UtilityViewModels/ExportViewModel.swift,// Orchestrates data export operations - UI state management only.,@Observable @MainActor,"Dependencies, Models, SQLiteData, Services","String, CaseIterable, String, CaseIterable",@MainActor,Simple,
ViewModel-Utility,HealthKit,swift/Sources/App/ViewModels/HealthDashboardViewModel.swift,// ViewModel for real-time health metrics dashboard with live HealthKit tracking.,@Observable @MainActor,"Dependencies, Observation, Services",,@MainActor,Medium,
ViewModel-Utility,PersonalValue,swift/Sources/App/ViewModels/ValueAlignmentHeatmapViewModel.swift,// ViewModel for Value Alignment Heatmap view.,@Observable @MainActor,"Database, Dependencies, Models, Observation, Services",,@MainActor,Medium,
